"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
218,2018-12-18,114,1218,"UK native pony breeds","male","undefined",0.5,1,"qPCR"
1466,2016-10-16,111,1490,"UK native horse breeds","male","commercial",4,1,"culture and qPCR"
1721,2018-01-04,27,1428,"undefined","male","undefined",NA,1,"culture and qPCR"
1340,2016-06-14,505,1269,"crossbreeds","male","undefined",10,1,"qPCR"
485,2019-12-12,104,1212,"crossbreeds","male","undefined",4,4,"qPCR"
1447,2016-09-27,5,1447,"undefined","female","undefined",NA,1,"qPCR"
1773,2018-03-19,36,1449,"Sports horses","male","other",3,1,"culture and qPCR"
674,2015-03-13,36,1449,"UK native horse breeds","unreported","undefined",3,1,"culture"
1688,2017-10-19,37,1190,"undefined","unreported","undefined",2,1,"culture and qPCR"
920,2015-08-13,931,1522,"UK native pony breeds","female","undefined",NA,1,"culture and qPCR"
1727,2018-03-08,114,1218,"UK native horse breeds","male","undefined",NA,1,"qPCR"
855,2015-07-08,931,1522,"undefined","unreported","undefined",NA,1,"qPCR"
274,2019-02-18,72,1282,"undefined","male","other",8,1,"qPCR"
809,2015-06-17,184,1190,"Sports horses","male","commercial",8,1,"culture and qPCR"
747,2015-04-28,42,1284,"UK native horse breeds","unreported","undefined",18,1,"culture and qPCR"
1214,2016-03-02,397,1441,"undefined","unreported","undefined",NA,1,"qPCR"
86,2018-04-09,45,1188,"Sports horses","female","commercial",4,1,"culture and qPCR"
773,2015-05-13,62,1317,"Sports horses","male","undefined",10,1,"qPCR"
1703,2017-11-20,86,1481,"undefined","unreported","undefined",NA,1,"qPCR"
1062,2015-11-20,757,1428,"Non UK native horses","male","undefined",6,1,"culture"
1641,2017-05-23,40,1436,"Sports horses","unreported","undefined",NA,1,"culture and qPCR"
902,2015-08-04,1127,1216,"undefined","unreported","undefined",NA,1,"qPCR"
1559,2017-01-25,111,1490,"undefined","male","undefined",17,1,"culture and qPCR"
1110,2015-12-31,1112,1522,"UK native pony breeds","male","commercial",3,1,"qPCR"
899,2015-08-03,181,1237,"undefined","female","commercial",9,1,"culture and qPCR"
72,2018-06-11,24,1260,"crossbreeds","female","undefined",NA,1,"culture and qPCR"
232,2018-12-31,67,1267,"undefined","female","undefined",NA,1,"qPCR"
1369,2016-06-28,111,1490,"crossbreeds","male","commercial",17,1,"qPCR"
541,2015-01-05,598,1509,"UK native pony breeds","female","private",10,1,"qPCR"
1561,2017-01-24,626,1194,"crossbreeds","female","undefined",6,1,"qPCR"
1513,2016-12-14,898,1490,"undefined","unreported","undefined",NA,1,"qPCR"
435,2019-09-23,42,1284,"UK native horse breeds","female","undefined",10,3,"culture and qPCR"
979,2015-10-01,111,1490,"undefined","unreported","undefined",NA,1,"qPCR"
1554,2017-01-21,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
1069,2015-12-01,150,1472,"UK native pony breeds","female","undefined",8,1,"qPCR"
438,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1,"culture and qPCR"
379,2019-07-22,50,1268,"UK native pony breeds","female","undefined",9,3,"qPCR"
1612,2017-05-02,143,1190,"UK native horse breeds","male","undefined",5.91,1,"culture"
493,2019-12-14,50,1268,"UK native horse breeds","unreported","commercial",3,1,"qPCR"
1040,2015-10-31,65,1238,"UK native pony breeds","female","commercial",11,1,"culture and qPCR"
907,2015-08-07,931,1522,"UK native pony breeds","male","undefined",20,1,"culture and qPCR"
1527,2017-01-07,799,1428,"undefined","unreported","other",NA,1,"culture and qPCR"
82,2018-03-29,45,1188,"Sports horses","female","undefined",NA,1,"qPCR"
1383,2016-07-19,451,1292,"UK native pony breeds","male","commercial",21.75,1,"culture and qPCR"
792,2015-06-04,435,1522,"undefined","unreported","undefined",NA,1,"culture and qPCR"
31,2019-06-26,138,1380,"undefined","unreported","undefined",NA,3,"culture and qPCR"
906,2015-08-05,931,1522,"undefined","unreported","undefined",NA,1,"qPCR"
1589,2017-11-14,114,1218,"UK native horse breeds","male","undefined",14,1,"qPCR"
769,2015-05-12,42,1284,"undefined","unreported","undefined",NA,1,"qPCR"
1548,2017-03-07,43,1442,"UK native horse breeds","male","commercial",6,1,"qPCR"
1260,2016-04-04,19,1472,"undefined","unreported","undefined",28,1,"culture and qPCR"
1113,2016-01-04,961,1481,"UK native horse breeds","male","commercial",19,1,"qPCR"
1515,2016-12-15,40,1436,"Sports horses","male","commercial",2,1,"qPCR"
1355,2016-06-22,71,1244,"undefined","unreported","undefined",6,1,"qPCR"
271,2019-02-12,131,1436,"undefined","unreported","undefined",NA,1,"culture"
361,2019-06-28,96,1380,"Sports horses","unreported","private",9,1,"culture"
1534,2017-01-10,45,1188,"crossbreeds","male","private",8,1,"qPCR"
488,2019-12-05,839,1236,"UK native horse breeds","female","private",NA,1,"culture and qPCR"
163,2018-09-08,55,1301,"UK native horse breeds","female","undefined",13,5,"culture and qPCR"
43,2019-06-06,93,1520,"undefined","male","commercial",NA,1,"culture and qPCR"
1713,2017-12-18,496,1478,"Sports horses","female","commercial",6,1,"culture and qPCR"
1464,2016-10-17,43,1442,"undefined","female","undefined",3,1,"culture and qPCR"
566,2015-04-22,931,1522,"undefined","male","undefined",NA,1,"qPCR"
618,2015-02-18,155,1449,"undefined","male","undefined",NA,1,"qPCR"
222,2018-12-20,147,1490,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1005,2016-01-12,40,1436,"undefined","unreported","undefined",NA,1,"qPCR"
64,2018-07-16,8,1260,"UK native pony breeds","female","commercial",3.08,1,"culture and qPCR"
1344,2016-06-15,4,1490,"UK native pony breeds","female","private",4,1,"qPCR"
1319,2016-05-27,626,1194,"undefined","female","undefined",NA,1,"qPCR"
1173,2015-12-31,96,1380,"Sports horses","unreported","undefined",NA,1,"culture and qPCR"
1324,2016-05-31,28,1292,"undefined","unreported","undefined",NA,1,"qPCR"
462,2019-10-08,114,1218,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1358,2016-06-22,931,1522,"undefined","unreported","undefined",NA,1,"qPCR"
1664,2017-08-01,818,1284,"undefined","unreported","undefined",NA,1,"qPCR"
621,2015-11-05,67,1267,"undefined","female","undefined",5,1,"culture and qPCR"
726,2015-04-15,345,1259,"Non UK native horses","female","undefined",NA,1,"qPCR"
1294,2016-04-27,71,1244,"undefined","male","commercial",5,1,"culture and qPCR"
331,2019-05-23,54,1259,"UK native horse breeds","male","undefined",NA,4,"qPCR"
1481,2016-11-08,215,1294,"UK native horse breeds","male","undefined",20,1,"qPCR"
1717,2017-12-27,106,1462,"crossbreeds","female","commercial",15.16,1,"culture and qPCR"
1381,2016-07-13,147,1490,"undefined","male","undefined",NA,1,"culture and qPCR"
380,2019-07-22,17,1292,"Non UK native horses","male","undefined",NA,1,"qPCR"
1428,2016-08-31,551,1470,"UK native pony breeds","male","commercial",5,1,"culture and qPCR"
540,2015-01-05,345,1259,"Sports horses","unreported","commercial",NA,1,"qPCR"
1274,2016-04-08,818,1284,"undefined","unreported","undefined",NA,1,"culture and qPCR"
797,2015-06-09,178,1460,"UK native horse breeds","female","commercial",NA,1,"qPCR"
716,2015-04-14,18,1456,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1367,2016-06-27,106,1462,"Sports horses","male","undefined",11.5,1,"culture and qPCR"
1746,2018-02-23,111,1490,"Sports horses","male","undefined",10.58,1,"culture and qPCR"
334,2019-05-24,76,1508,"undefined","unreported","undefined",21,1,"culture"
386,2019-07-29,117,1269,"Sports horses","female","undefined",8,5,"qPCR"
828,2015-06-26,28,1292,"undefined","female","undefined",NA,1,"culture and qPCR"
1032,2015-10-19,159,1380,"Sports horses","male","commercial",NA,1,"qPCR"
377,2019-07-18,17,1292,"Non UK native horses","unreported","commercial",5,1,"culture and qPCR"
737,2015-04-24,931,1522,"undefined","female","undefined",NA,1,"culture and qPCR"
1573,2017-02-10,20,1294,"Sports horses","male","undefined",15,1,"qPCR"
732,2015-04-21,175,1428,"crossbreeds","female","undefined",8,1,"qPCR"
159,2018-09-01,21,1268,"undefined","male","undefined",24,1,"culture and qPCR"
976,2015-09-27,16,1385,"UK native horse breeds","female","undefined",5,1,"culture and qPCR"
275,2019-02-19,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
140,2018-07-16,48,1449,"undefined","female","undefined",NA,1,"qPCR"
1234,2016-03-16,744,1520,"UK native pony breeds","male","other",NA,1,"qPCR"
1695,2017-11-09,231,1495,"UK native horse breeds","unreported","undefined",1,1,"qPCR"
1743,2018-02-15,111,1490,"UK native pony breeds","female","commercial",21,1,"culture and qPCR"
1540,2017-01-12,1118,1516,"UK native horse breeds","male","commercial",18,1,"culture and qPCR"
1489,2016-11-15,551,1470,"UK native pony breeds","unreported","undefined",13,1,"qPCR"
974,2015-09-24,931,1522,"undefined","unreported","undefined",NA,1,"qPCR"
1264,2016-04-05,28,1292,"UK native pony breeds","female","undefined",18,1,"culture and qPCR"
1741,2018-02-05,244,1453,"UK native pony breeds","female","undefined",NA,1,"qPCR"
1055,2015-11-16,174,1188,"UK native horse breeds","male","private",1.25,1,"qPCR"
1250,2016-03-24,46,1301,"Sports horses","male","commercial",5,1,"qPCR"
597,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1,"qPCR"
831,2015-06-29,940,1481,"UK native pony breeds","female","undefined",6,1,"qPCR"
1199,2016-02-23,1126,1243,"undefined","female","undefined",5,1,"qPCR"
288,2019-03-01,159,1380,"UK native pony breeds","female","commercial",NA,1,"qPCR"
845,2015-07-06,149,1465,"Sports horses","female","other",4,1,"qPCR"
51,2018-10-24,54,1259,"UK native horse breeds","male","undefined",1,4,"culture and qPCR"
1443,2016-09-19,20,1294,"undefined","unreported","undefined",NA,1,"qPCR"
1555,2017-01-21,4,1490,"UK native horse breeds","female","commercial",6,1,"qPCR"
954,2015-09-11,93,1520,"Sports horses","male","private",13,1,"qPCR"
1537,2017-01-10,139,1187,"UK native pony breeds","unreported","undefined",6,1,"qPCR"
1266,2016-04-06,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
1414,2016-08-17,843,1218,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1353,2016-06-21,505,1269,"UK native pony breeds","male","undefined",8.08,1,"culture"
1650,2017-06-23,28,1292,"Non UK native horses","male","commercial",NA,1,"qPCR"
1514,2016-12-15,93,1520,"undefined","unreported","commercial",NA,1,"culture and qPCR"
574,2015-05-27,413,1218,"UK native pony breeds","female","undefined",7,1,"culture and qPCR"
1552,2017-01-19,71,1244,"UK native pony breeds","unreported","undefined",6,1,"qPCR"
1756,2018-03-06,44,1506,"undefined","unreported","undefined",20,1,"qPCR"
879,2015-07-21,36,1449,"Sports horses","unreported","undefined",4,1,"qPCR"
1660,2017-07-21,42,1284,"Sports horses","unreported","other",23.5,1,"culture and qPCR"
1477,2015-12-31,40,1436,"Sports horses","male","other",NA,1,"culture and qPCR"
717,2015-02-03,345,1259,"UK native pony breeds","male","commercial",5,1,"qPCR"
211,2018-12-12,53,1285,"undefined","unreported","undefined",11,1,"culture and qPCR"
932,2015-08-26,24,1260,"undefined","male","undefined",NA,1,"qPCR"
967,2015-09-16,68,1218,"Sports horses","male","undefined",14,1,"culture"
1546,2017-01-17,61,1499,"undefined","male","undefined",7,1,"qPCR"
135,2018-07-12,1,1262,"Non UK native horses","male","undefined",16,1,"culture and qPCR"
387,2019-07-29,145,1282,"UK native pony breeds","unreported","undefined",NA,5,"qPCR"
107,2018-05-15,20,1294,"undefined","unreported","undefined",NA,1,"qPCR"
1619,2017-05-14,5,1447,"undefined","female","private",5,1,"qPCR"
492,2019-12-05,164,1523,"UK native horse breeds","male","other",25,1,"qPCR"
955,2015-09-14,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
1471,2016-10-19,970,1485,"Sports horses","male","commercial",15.5,1,"culture and qPCR"
584,2015-01-27,1122,1522,"Donkey Gen","female","private",NA,1,"qPCR"
78,2019-07-01,62,1317,"Sports horses","male","private",11,1,"qPCR"
1659,2017-07-18,121,1269,"undefined","female","undefined",9,1,"qPCR"
1774,2018-03-21,18,1456,"UK native horse breeds","male","undefined",NA,1,"qPCR"
1046,2015-11-09,67,1267,"undefined","unreported","undefined",NA,1,"qPCR"
1585,2017-03-06,96,1380,"UK native horse breeds","male","undefined",12,1,"qPCR"
317,2019-04-17,149,1465,"UK native pony breeds","female","undefined",NA,5,"qPCR"
1700,2017-11-17,1114,1508,"undefined","female","undefined",NA,1,"qPCR"
697,2015-03-30,93,1520,"UK native horse breeds","female","undefined",8,1,"culture and qPCR"
396,2019-08-14,162,1188,"undefined","male","undefined",2,3,"culture and qPCR"
628,2015-02-22,116,1466,"UK native horse breeds","male","undefined",0.58,1,"qPCR"
764,2015-05-08,1126,1243,"UK native pony breeds","female","undefined",NA,1,"qPCR"
486,2019-11-15,139,1187,"UK native pony breeds","female","undefined",16,6,"LAMP"
1542,2017-01-16,39,1240,"crossbreeds","male","commercial",11,1,"culture"
15,2019-03-12,1,1262,"Sports horses","male","undefined",7,1,"qPCR"
229,2018-12-28,139,1187,"UK native pony breeds","unreported","undefined",NA,1,"qPCR"
638,2015-02-25,116,1466,"undefined","female","undefined",NA,1,"qPCR"
251,2019-01-15,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
1480,2016-11-04,6,1242,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1581,2017-03-01,249,1502,"Sports horses","male","undefined",12,1,"qPCR"
1762,2018-03-06,719,1296,"UK native horse breeds","female","commercial",8.08,1,"culture and qPCR"
338,2019-05-27,59,1303,"UK native horse breeds","unreported","private",2,1,"qPCR"
266,2019-02-05,13,1317,"UK native pony breeds","male","undefined",5,4,"qPCR"
1308,2016-05-20,79,1449,"undefined","unreported","undefined",NA,1,"qPCR"
