"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
1146,2016-01-18,470,1519,"undefined","unreported","commercial",NA,1,"culture and qPCR"
36,2019-02-16,97,1524,"Sports horses","male","private",12,1,"culture and qPCR"
1693,2017-11-06,121,1269,"UK native pony breeds","unreported","undefined",NA,1,"qPCR"
1028,2015-10-16,111,1490,"undefined","female","undefined",NA,1,"culture and qPCR"
578,2015-06-17,485,1454,"crossbreeds","male","undefined",NA,1,"qPCR"
1082,2015-12-07,159,1380,"UK native pony breeds","female","commercial",1.25,1,"culture and qPCR"
358,2019-06-25,115,1219,"undefined","female","undefined",4,5,"culture and qPCR"
537,2015-01-05,1127,1216,"undefined","unreported","undefined",NA,1,"qPCR"
1388,2016-07-24,633,1485,"undefined","unreported","undefined",NA,1,"culture and qPCR"
118,2018-06-18,18,1456,"undefined","unreported","other",NA,1,"qPCR"
1018,2015-10-07,120,1238,"UK native pony breeds","female","undefined",3,1,"qPCR"
160,2018-09-04,76,1508,"UK native pony breeds","female","undefined",24,5,"culture and qPCR"
203,2018-12-01,72,1282,"UK native horse breeds","female","other",1,1,"qPCR"
1064,2015-11-25,116,1466,"UK native horse breeds","unreported","undefined",NA,1,"qPCR"
454,2019-10-11,157,1380,"undefined","male","undefined",NA,4,"culture and qPCR"
1386,2016-07-20,931,1522,"crossbreeds","male","undefined",NA,1,"culture and qPCR"
89,2018-04-16,72,1282,"Sports horses","unreported","commercial",NA,1,"qPCR"
1026,2015-10-12,823,1470,"undefined","unreported","commercial",NA,1,"culture and qPCR"
228,2018-12-27,42,1284,"crossbreeds","male","commercial",23,1,"qPCR"
844,2015-07-03,73,1463,"Sports horses","male","undefined",10,1,"qPCR"
1712,2017-12-18,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
134,2018-07-12,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
1262,2016-04-04,28,1292,"undefined","female","undefined",NA,1,"culture"
1767,2018-03-15,184,1190,"UK native horse breeds","male","undefined",8,1,"culture and qPCR"
1485,2016-11-14,139,1187,"undefined","unreported","undefined",NA,1,"qPCR"
68,2019-04-05,132,1192,"UK native horse breeds","female","undefined",10,1,"qPCR"
1764,2018-03-08,111,1490,"undefined","female","commercial",NA,1,"qPCR"
108,2018-05-16,111,1490,"crossbreeds","unreported","other",5,1,"culture and qPCR"
919,2015-08-13,39,1240,"Sports horses","male","commercial",5,1,"qPCR"
822,2015-06-23,62,1317,"crossbreeds","male","commercial",10,1,"culture and qPCR"
17,2018-11-06,46,1301,"UK native pony breeds","male","undefined",3,5,"culture and qPCR"
829,2015-06-26,5,1447,"undefined","male","commercial",6,1,"qPCR"
440,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1,"culture and qPCR"
253,2019-01-15,65,1238,"undefined","male","undefined",12,4,"culture and qPCR"
1271,2016-04-07,442,1244,"undefined","unreported","undefined",NA,1,"qPCR"
1197,2016-02-22,135,1424,"undefined","unreported","commercial",10,1,"qPCR"
291,2019-03-04,103,1191,"undefined","unreported","undefined",8,4,"culture and qPCR"
887,2015-07-22,143,1190,"Sports horses","male","commercial",9,1,"qPCR"
1230,2016-03-16,818,1284,"UK native horse breeds","male","undefined",NA,1,"culture and qPCR"
376,2019-07-18,17,1292,"Non UK native horses","male","commercial",NA,1,"qPCR"
580,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1,"culture and qPCR"
395,2019-08-13,161,1495,"undefined","unreported","undefined",NA,3,"culture and qPCR"
298,2019-03-18,48,1449,"undefined","female","undefined",9,1,"qPCR"
1642,2017-06-02,923,1188,"Sports horses","male","commercial",21,1,"qPCR"
1361,2016-06-24,43,1442,"Sports horses","unreported","undefined",8,1,"culture"
859,2015-07-13,114,1218,"UK native horse breeds","female","commercial",8,1,"qPCR"
1226,2016-03-13,65,1238,"UK native pony breeds","female","other",NA,1,"culture and qPCR"
1469,2016-10-17,67,1267,"undefined","unreported","undefined",NA,1,"culture and qPCR"
180,2018-10-23,55,1301,"UK native horse breeds","male","undefined",14,5,"culture and qPCR"
482,2019-11-21,194,1218,"undefined","female","private",2,1,"qPCR"
666,2015-03-05,65,1238,"UK native horse breeds","female","commercial",8,1,"qPCR"
344,2019-06-06,87,1187,"UK native horse breeds","male","private",7,1,"qPCR"
636,2015-02-23,596,1218,"undefined","unreported","undefined",NA,1,"qPCR"
1004,2016-01-12,65,1238,"UK native pony breeds","female","commercial",5,1,"culture and qPCR"
1391,2016-07-26,133,1499,"Non UK native horses","male","private",10,1,"qPCR"
428,2019-09-18,96,1380,"undefined","female","undefined",NA,4,"culture and qPCR"
802,2015-06-10,65,1238,"undefined","unreported","commercial",5,1,"culture and qPCR"
656,2015-03-04,16,1385,"Sports horses","female","undefined",6,1,"qPCR"
981,2015-10-05,159,1380,"undefined","unreported","undefined",NA,1,"culture"
1108,2015-12-29,35,1451,"Sports horses","unreported","undefined",NA,1,"culture and qPCR"
755,2015-05-01,178,1460,"UK native pony breeds","male","commercial",NA,1,"culture and qPCR"
491,2019-12-16,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
1468,2016-10-19,185,1461,"Sports horses","male","commercial",8,1,"qPCR"
1422,2016-08-25,48,1449,"Sports horses","female","undefined",5,1,"qPCR"
260,2019-01-25,24,1260,"undefined","unreported","undefined",NA,4,"qPCR"
384,2019-07-29,68,1218,"Non UK native horses","female","undefined",10,5,"culture and qPCR"
1736,2018-01-31,652,1456,"Sports horses","female","undefined",6.08,1,"culture and qPCR"
264,2019-01-31,100,1465,"Sports horses","male","undefined",6,5,"culture"
675,2015-03-16,18,1456,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1352,2016-06-21,106,1462,"crossbreeds","male","undefined",NA,1,"culture and qPCR"
1256,2016-03-31,93,1520,"UK native horse breeds","male","undefined",15,1,"qPCR"
105,2018-05-15,20,1294,"undefined","unreported","undefined",NA,1,"qPCR"
1582,2017-03-01,261,1268,"undefined","unreported","undefined",NA,1,"culture"
1726,2018-01-10,71,1244,"UK native pony breeds","female","undefined",4,1,"culture and qPCR"
1053,2015-11-16,37,1190,"undefined","unreported","undefined",NA,1,"culture and qPCR"
147,2018-07-19,137,1478,"Sports horses","female","undefined",25,1,"culture and qPCR"
397,2019-08-14,114,1218,"UK native horse breeds","male","undefined",NA,1,"qPCR"
1286,2016-04-19,62,1317,"crossbreeds","unreported","undefined",6,1,"qPCR"
934,2015-08-28,843,1218,"undefined","unreported","other",NA,1,"qPCR"
734,2015-04-22,551,1470,"crossbreeds","male","commercial",13,1,"qPCR"
730,2015-04-20,137,1478,"crossbreeds","female","undefined",8,1,"qPCR"
67,2019-04-15,116,1466,"UK native horse breeds","female","undefined",10,1,"culture and qPCR"
1760,2018-03-07,2,1262,"crossbreeds","male","commercial",1,1,"qPCR"
1375,2016-07-04,106,1462,"UK native horse breeds","female","commercial",10,1,"culture and qPCR"
827,2015-06-26,58,1508,"Sports horses","male","undefined",7,1,"qPCR"
562,2015-04-10,744,1520,"UK native horse breeds","male","other",10,1,"qPCR"
723,2015-04-14,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
357,2019-06-25,69,1451,"Non UK native horses","male","undefined",5,5,"culture and qPCR"
1408,2016-08-16,146,1188,"Sports horses","male","commercial",6,1,"culture and qPCR"
1725,2018-01-09,119,1473,"undefined","female","undefined",6,1,"qPCR"
592,2015-02-03,881,1495,"Sports horses","male","undefined",6.08,1,"culture and qPCR"
1172,2016-02-02,237,1285,"UK native pony breeds","unreported","commercial",8,1,"qPCR"
1061,2015-11-18,8,1260,"Non UK native horses","male","private",6,1,"culture and qPCR"
1248,2016-03-24,76,1508,"UK native pony breeds","male","undefined",8,1,"culture and qPCR"
561,2015-01-15,69,1451,"undefined","unreported","undefined",NA,1,"qPCR"
1494,2016-11-23,5,1447,"undefined","female","private",6,1,"qPCR"
1416,2016-08-22,28,1292,"Sports horses","female","undefined",6,1,"qPCR"
206,2018-12-03,46,1301,"UK native pony breeds","female","commercial",6,1,"culture and qPCR"
350,2019-06-18,126,1267,"UK native horse breeds","male","undefined",14,3,"qPCR"
236,2019-01-03,1,1262,"UK native horse breeds","female","undefined",30,5,"culture and qPCR"
148,2018-07-20,15,1196,"undefined","male","undefined",0.66,1,"culture and qPCR"
133,2018-07-12,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
1087,2015-12-11,970,1485,"undefined","male","undefined",24,1,"culture and qPCR"
1144,2016-01-18,470,1519,"undefined","unreported","commercial",NA,1,"qPCR"
1532,2017-01-09,28,1292,"undefined","female","commercial",NA,1,"qPCR"
637,2015-02-25,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
612,2015-02-13,12,1436,"undefined","unreported","undefined",0.66,1,"qPCR"
1584,2017-10-13,114,1218,"Sports horses","male","undefined",16,1,"qPCR"
581,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1,"qPCR"
142,2018-07-17,47,1269,"undefined","female","undefined",NA,1,"qPCR"
1569,2017-02-10,818,1284,"Sports horses","unreported","undefined",11,1,"culture and qPCR"
796,2015-06-09,818,1284,"crossbreeds","female","undefined",14,1,"culture and qPCR"
131,2018-07-11,40,1436,"undefined","female","undefined",NA,1,"qPCR"
1321,2016-06-01,560,1449,"Sports horses","male","commercial",9,1,"culture and qPCR"
1442,2016-09-19,85,1499,"undefined","unreported","commercial",NA,1,"qPCR"
1207,2016-02-29,143,1190,"crossbreeds","unreported","undefined",8,1,"qPCR"
1305,2016-05-12,125,1212,"undefined","female","commercial",23,1,"qPCR"
1177,2016-02-04,156,1311,"undefined","unreported","undefined",NA,1,"qPCR"
293,2019-03-13,58,1508,"crossbreeds","male","undefined",22,4,"culture and qPCR"
1081,2015-12-07,1032,1269,"crossbreeds","male","undefined",17,1,"qPCR"
821,2015-06-23,1080,1409,"UK native pony breeds","female","private",NA,1,"culture"
593,2015-02-04,369,1451,"crossbreeds","male","private",NA,1,"qPCR"
703,2015-04-07,885,1481,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1345,2016-06-16,5,1447,"UK native horse breeds","male","commercial",3,1,"qPCR"
615,2015-10-26,4,1490,"UK native pony breeds","female","commercial",6,1,"culture and qPCR"
930,2015-08-24,36,1449,"UK native horse breeds","male","other",20,1,"qPCR"
1116,2016-01-04,496,1478,"undefined","female","commercial",NA,1,"culture and qPCR"
1745,2018-02-22,39,1240,"UK native horse breeds","female","undefined",16.5,1,"culture and qPCR"
671,2015-03-10,57,1218,"undefined","unreported","undefined",NA,1,"qPCR"
388,2019-07-29,31,1499,"UK native pony breeds","female","undefined",NA,3,"qPCR"
198,2018-11-22,103,1191,"undefined","unreported","undefined",NA,4,"culture and qPCR"
740,2015-04-26,721,1218,"undefined","female","undefined",NA,1,"culture and qPCR"
1332,2016-06-08,475,1490,"undefined","female","commercial",12,1,"qPCR"
1295,2016-04-27,197,1424,"Sports horses","male","commercial",10,1,"qPCR"
371,2019-07-14,139,1187,"undefined","unreported","undefined",NA,3,"culture and qPCR"
565,2015-01-15,104,1212,"UK native pony breeds","male","commercial",7,1,"culture and qPCR"
225,2018-12-27,114,1218,"undefined","female","undefined",2,1,"qPCR"
10,2019-05-14,73,1463,"Sports horses","male","undefined",9,1,"culture and qPCR"
174,2018-10-09,83,1470,"UK native pony breeds","unreported","undefined",7,1,"culture and qPCR"
696,2015-03-31,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
1287,2016-04-20,818,1284,"undefined","unreported","undefined",NA,1,"culture"
478,2019-11-21,526,1478,"UK native horse breeds","male","undefined",NA,1,"culture and qPCR"
1525,2017-01-05,28,1292,"UK native pony breeds","male","undefined",12,1,"qPCR"
1221,2016-03-10,2,1262,"undefined","female","commercial",NA,1,"culture and qPCR"
1303,2016-05-10,90,1453,"Sports horses","unreported","commercial",NA,1,"qPCR"
1678,2017-09-22,69,1451,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1772,2018-03-20,46,1301,"UK native pony breeds","female","other",7,1,"culture and qPCR"
654,2015-03-03,57,1218,"undefined","unreported","undefined",NA,1,"qPCR"
1243,2016-03-21,49,1190,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1587,2017-03-06,85,1499,"UK native horse breeds","female","undefined",3,1,"culture and qPCR"
1276,2016-04-13,475,1490,"UK native pony breeds","female","commercial",5,1,"qPCR"
815,2015-06-17,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
1533,2017-01-09,124,1260,"Sports horses","male","other",2,1,"culture and qPCR"
699,2015-04-01,1127,1216,"undefined","unreported","undefined",NA,1,"qPCR"
1452,2016-09-29,90,1453,"UK native pony breeds","female","commercial",1,1,"culture and qPCR"
1432,2016-09-07,71,1244,"UK native horse breeds","female","commercial",0.33,1,"culture and qPCR"
819,2015-06-16,1110,1522,"UK native pony breeds","female","undefined",NA,1,"qPCR"
843,2015-07-05,470,1519,"UK native pony breeds","male","commercial",20,1,"culture and qPCR"
477,2019-11-27,157,1380,"undefined","unreported","undefined",NA,4,"culture and qPCR"
874,2015-07-20,174,1188,"undefined","female","undefined",NA,1,"qPCR"
121,2018-06-22,77,1269,"undefined","unreported","undefined",NA,1,"qPCR"
1667,2017-08-21,69,1451,"undefined","unreported","undefined",NA,1,"culture and qPCR"
470,2019-11-11,187,1190,"UK native pony breeds","male","undefined",17,4,"culture and qPCR"
157,2018-08-29,108,1292,"undefined","male","undefined",5,1,"qPCR"
1317,2016-05-25,178,1460,"UK native pony breeds","unreported","commercial",40,1,"qPCR"
914,2015-08-12,116,1466,"undefined","female","undefined",NA,1,"qPCR"
1510,2016-12-12,685,1436,"Sports horses","female","commercial",6,1,"qPCR"
69,2019-01-21,30,1385,"UK native pony breeds","male","undefined",2,4,"culture and qPCR"
959,2015-09-14,591,1297,"Sports horses","female","undefined",NA,1,"qPCR"
1284,2016-04-15,139,1187,"UK native pony breeds","unreported","other",16,1,"qPCR"
1590,2017-11-27,96,1380,"Sports horses","female","undefined",NA,1,"qPCR"
439,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1,"qPCR"
1723,2018-01-08,1032,1269,"crossbreeds","male","other",10,1,"culture and qPCR"
1163,2016-01-27,596,1218,"UK native horse breeds","male","commercial",4,1,"culture and qPCR"
1500,2016-11-30,94,1217,"undefined","female","undefined",1,1,"culture and qPCR"
156,2018-08-17,125,1212,"undefined","unreported","undefined",0.41,1,"qPCR"
18,2019-03-29,46,1301,"UK native pony breeds","male","undefined",4,5,"qPCR"
1526,2017-12-30,5,1447,"undefined","male","undefined",26,1,"qPCR"
935,2015-09-01,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
1071,2015-12-01,147,1490,"UK native pony breeds","unreported","commercial",21,1,"culture and qPCR"
1739,2018-02-01,652,1456,"undefined","male","undefined",9,1,"culture and qPCR"
1418,2016-08-23,215,1294,"UK native pony breeds","male","commercial",6,1,"culture and qPCR"
1237,2016-03-17,276,1409,"crossbreeds","female","private",24,1,"culture and qPCR"
65,2018-12-18,70,1220,"undefined","unreported","undefined",NA,1,"qPCR"
460,2019-10-22,178,1460,"Non UK native horses","female","commercial",6,1,"culture and qPCR"
1402,2016-08-08,1033,1301,"UK native pony breeds","female","other",2,1,"qPCR"
897,2015-07-30,931,1522,"undefined","unreported","undefined",0.08,1,"qPCR"
957,2015-09-14,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
252,2019-01-15,79,1449,"undefined","unreported","undefined",NA,5,"culture and qPCR"
664,2015-03-04,104,1212,"Sports horses","male","commercial",4,1,"qPCR"
1257,2016-04-04,148,1451,"UK native pony breeds","male","private",23,1,"culture and qPCR"
1142,2016-01-14,113,1458,"crossbreeds","male","commercial",21,1,"qPCR"
368,2019-07-09,60,1218,"UK native pony breeds","male","undefined",10,3,"culture and qPCR"
227,2018-12-27,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
421,2019-08-30,68,1218,"undefined","male","undefined",NA,1,"culture and qPCR"
652,2015-03-02,106,1462,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1336,2016-06-13,627,1460,"undefined","unreported","other",NA,1,"qPCR"
1073,2015-12-04,1112,1522,"undefined","unreported","commercial",NA,1,"qPCR"
1637,2017-05-18,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
921,2015-08-14,1071,1447,"Sports horses","female","other",15,1,"culture"
1541,2017-01-16,8,1260,"UK native horse breeds","female","commercial",10,1,"qPCR"
267,2019-02-05,13,1317,"UK native pony breeds","male","undefined",0.83,4,"qPCR"
683,2015-03-23,140,1292,"undefined","unreported","undefined",NA,1,"culture and qPCR"
152,2018-08-05,93,1520,"Sports horses","male","commercial",10,1,"culture and qPCR"
682,2015-03-23,140,1292,"undefined","unreported","undefined",NA,1,"qPCR"
204,2018-12-02,106,1462,"undefined","female","undefined",NA,5,"culture and qPCR"
1519,2016-12-21,111,1490,"UK native pony breeds","unreported","commercial",1,1,"qPCR"
1572,2017-02-13,83,1470,"UK native horse breeds","female","undefined",1,1,"culture and qPCR"
1714,2017-12-20,147,1490,"undefined","female","undefined",NA,1,"culture and qPCR"
1394,2016-07-29,120,1238,"UK native pony breeds","male","private",NA,1,"qPCR"
544,2015-01-06,159,1380,"undefined","male","private",20,1,"culture and qPCR"
483,2019-12-04,916,1522,"Sports horses","male","commercial",9,1,"qPCR"
878,2015-07-21,36,1449,"undefined","unreported","undefined",NA,1,"qPCR"
193,2018-11-12,71,1244,"crossbreeds","female","undefined",17,1,"culture and qPCR"
880,2015-07-21,36,1449,"undefined","unreported","undefined",NA,1,"qPCR"
1738,2018-01-30,193,1296,"UK native pony breeds","unreported","undefined",6.5,1,"culture and qPCR"
240,2019-01-11,30,1385,"undefined","unreported","undefined",NA,4,"culture and qPCR"
323,2019-05-08,45,1188,"crossbreeds","male","commercial",9,1,"culture"
73,2019-01-11,141,1191,"undefined","male","undefined",10,4,"culture and qPCR"
1417,2016-08-22,551,1470,"crossbreeds","female","commercial",3,1,"culture and qPCR"
870,2015-07-17,413,1218,"undefined","unreported","undefined",NA,1,"qPCR"
1337,2016-06-13,627,1460,"undefined","unreported","other",NA,1,"qPCR"
1232,2016-03-17,823,1470,"UK native pony breeds","female","undefined",0.5,1,"qPCR"
1521,2016-12-28,121,1269,"Non UK native horses","male","undefined",3,1,"culture"
321,2019-05-05,145,1282,"UK native pony breeds","male","undefined",NA,5,"culture and qPCR"
346,2019-06-11,159,1380,"undefined","male","commercial",NA,1,"culture"
434,2019-09-18,41,1234,"undefined","unreported","undefined",NA,5,"culture and qPCR"
793,2015-06-05,131,1436,"undefined","male","undefined",16,1,"qPCR"
1465,2016-10-13,185,1461,"UK native horse breeds","male","commercial",6,1,"qPCR"
564,2015-04-20,413,1218,"undefined","male","commercial",NA,1,"culture and qPCR"
590,2015-01-29,132,1192,"Sports horses","female","undefined",5,1,"culture and qPCR"
80,2019-01-31,40,1436,"undefined","unreported","undefined",NA,1,"culture and qPCR"
986,2015-10-05,159,1380,"crossbreeds","female","undefined",23,1,"qPCR"
1204,2016-02-23,106,1462,"Sports horses","male","undefined",NA,1,"qPCR"
1446,2016-09-23,99,1508,"undefined","unreported","undefined",NA,1,"culture and qPCR"
669,2015-03-10,1127,1216,"undefined","unreported","undefined",NA,1,"qPCR"
1503,2016-12-05,71,1244,"crossbreeds","male","undefined",23.25,1,"culture and qPCR"
1229,2016-03-16,121,1269,"undefined","unreported","undefined",NA,1,"qPCR"
292,2019-03-04,52,1449,"Sports horses","female","undefined",NA,1,"culture"
48,2018-04-25,36,1449,"undefined","female","undefined",NA,1,"culture and qPCR"
1003,2016-01-11,113,1458,"Sports horses","unreported","undefined",22,1,"qPCR"
1562,2017-01-25,40,1436,"UK native horse breeds","unreported","commercial",5,1,"culture and qPCR"
857,2015-07-13,704,1454,"undefined","male","undefined",18,1,"culture and qPCR"
1224,2016-03-14,106,1462,"crossbreeds","male","undefined",2,1,"qPCR"
1251,2016-03-24,46,1301,"UK native pony breeds","female","commercial",18,1,"qPCR"
26,2019-02-19,148,1451,"UK native pony breeds","female","commercial",9,1,"qPCR"
262,2019-01-28,24,1260,"undefined","unreported","undefined",NA,4,"qPCR"
145,2018-07-18,154,1466,"undefined","unreported","undefined",NA,1,"culture and qPCR"
644,2015-02-26,116,1466,"UK native horse breeds","unreported","undefined",NA,1,"culture and qPCR"
94,2018-04-24,101,1196,"crossbreeds","male","undefined",21,1,"culture and qPCR"
892,2015-07-27,48,1449,"undefined","unreported","undefined",NA,1,"qPCR"
1425,2016-08-26,121,1269,"UK native horse breeds","unreported","undefined",NA,1,"qPCR"
399,2019-08-16,163,1444,"undefined","unreported","undefined",1,3,"qPCR"
806,2015-06-16,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
1531,2017-01-09,20,1294,"Sports horses","female","undefined",12,1,"culture and qPCR"
658,2015-03-03,459,1206,"undefined","unreported","commercial",NA,1,"culture and qPCR"
1576,2017-02-23,93,1520,"Non UK native horses","female","undefined",NA,1,"qPCR"
1151,2016-01-19,28,1292,"undefined","female","undefined",18,1,"culture and qPCR"
1599,2017-03-28,37,1190,"UK native pony breeds","unreported","undefined",12,1,"culture"
780,2015-05-26,815,1296,"UK native pony breeds","female","undefined",NA,1,"qPCR"
999,2016-01-07,793,1269,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1297,2016-04-29,119,1473,"undefined","male","private",NA,1,"qPCR"
553,2015-03-18,652,1456,"UK native pony breeds","male","undefined",0.5,1,"qPCR"
192,2018-11-12,4,1490,"undefined","unreported","undefined",NA,1,"culture"
1072,2015-12-04,1112,1522,"undefined","unreported","commercial",NA,1,"qPCR"
547,2015-01-09,48,1449,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1137,2016-01-05,335,1508,"UK native horse breeds","male","undefined",9,1,"culture and qPCR"
1036,2015-10-20,127,1261,"UK native pony breeds","male","other",2,1,"culture"
197,2018-11-20,104,1212,"UK native horse breeds","female","commercial",10,1,"qPCR"
1766,2018-03-08,793,1269,"UK native horse breeds","male","undefined",16,1,"culture"
551,2015-01-12,591,1297,"UK native pony breeds","male","undefined",7,1,"qPCR"
1458,2016-10-03,58,1508,"UK native pony breeds","female","undefined",3,1,"culture and qPCR"
915,2015-08-12,24,1260,"undefined","male","undefined",10,1,"culture and qPCR"
1382,2016-07-16,658,1219,"UK native horse breeds","male","commercial",9,1,"culture and qPCR"
1462,2016-10-12,69,1451,"undefined","unreported","undefined",NA,1,"qPCR"
5,2018-07-20,77,1269,"undefined","female","undefined",NA,1,"qPCR"
62,2019-03-25,67,1267,"Non UK native horses","male","undefined",NA,1,"culture and qPCR"
704,2015-04-07,18,1456,"undefined","unreported","undefined",NA,1,"qPCR"
1161,2016-01-26,1032,1269,"Non UK native horses","male","commercial",2,1,"culture and qPCR"
141,2018-07-16,77,1269,"undefined","male","undefined",NA,1,"qPCR"
1052,2015-11-16,37,1190,"undefined","unreported","undefined",NA,1,"culture and qPCR"
725,2015-04-14,71,1244,"UK native horse breeds","unreported","commercial",8,1,"qPCR"
176,2018-10-16,63,1481,"Sports horses","female","undefined",3,1,"qPCR"
1159,2016-01-27,435,1522,"undefined","unreported","commercial",NA,1,"culture and qPCR"
110,2018-05-23,123,1206,"UK native horse breeds","male","undefined",8,1,"qPCR"
1705,2017-11-20,86,1481,"crossbreeds","male","undefined",NA,1,"qPCR"
1291,2016-04-25,184,1190,"undefined","unreported","other",NA,1,"qPCR"
389,2019-07-30,88,1444,"Sports horses","female","undefined",9,3,"qPCR"
87,2018-04-10,68,1218,"crossbreeds","female","undefined",NA,1,"qPCR"
1405,2016-08-15,71,1244,"undefined","unreported","undefined",NA,1,"qPCR"
1346,2016-06-15,46,1301,"undefined","unreported","undefined",NA,1,"qPCR"
1162,2016-01-26,1032,1269,"Non UK native horses","male","commercial",NA,1,"culture and qPCR"
798,2015-06-10,556,1274,"crossbreeds","female","undefined",7,1,"qPCR"
83,2018-03-29,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
471,2019-11-15,90,1453,"UK native pony breeds","female","undefined",20,1,"qPCR"
383,2019-07-25,112,1301,"UK native horse breeds","male","undefined",0.16,1,"qPCR"
75,2018-11-26,96,1380,"UK native pony breeds","male","undefined",NA,4,"culture and qPCR"
1593,2017-03-14,18,1456,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1043,2015-11-04,940,1481,"UK native pony breeds","female","undefined",3,1,"qPCR"
848,2015-07-04,811,1471,"Non UK native horses","female","undefined",NA,1,"culture"
812,2015-06-16,488,1240,"undefined","female","undefined",NA,1,"qPCR"
1343,2016-06-15,93,1520,"Sports horses","male","undefined",NA,1,"qPCR"
1191,2016-02-13,1038,1449,"undefined","unreported","undefined",NA,1,"qPCR"
949,2015-09-07,119,1473,"Sports horses","female","commercial",5,1,"qPCR"
1757,2018-03-06,1059,1446,"Non UK native horses","male","undefined",12,1,"qPCR"
1077,2015-12-03,175,1428,"crossbreeds","female","commercial",NA,1,"culture and qPCR"
30,2019-01-08,140,1292,"undefined","unreported","commercial",NA,1,"culture and qPCR"
729,2015-04-20,137,1478,"UK native pony breeds","female","undefined",6,1,"qPCR"
1420,2016-08-25,83,1470,"UK native pony breeds","male","other",15,1,"culture and qPCR"
254,2019-01-16,118,1447,"Sports horses","male","undefined",10,5,"culture"
1213,2016-03-02,397,1441,"undefined","unreported","undefined",NA,1,"qPCR"
635,2015-02-24,146,1188,"Non UK native horses","female","undefined",NA,1,"qPCR"
127,2018-07-05,14,1206,"undefined","unreported","undefined",12,1,"qPCR"
1235,2016-03-16,159,1380,"Sports horses","male","commercial",14,1,"culture and qPCR"
624,2015-02-18,6,1242,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1601,2017-03-29,131,1436,"undefined","unreported","undefined",NA,1,"culture and qPCR"
1089,2015-12-11,970,1485,"Sports horses","male","undefined",NA,1,"culture and qPCR"
466,2019-10-21,90,1453,"UK native horse breeds","female","undefined",8,1,"qPCR"
647,2015-02-26,18,1456,"undefined","unreported","commercial",NA,1,"culture and qPCR"
559,2015-01-14,139,1187,"undefined","unreported","undefined",NA,1,"qPCR"
1658,2017-07-14,43,1442,"undefined","female","commercial",8,1,"culture and qPCR"
149,2018-07-23,45,1188,"UK native horse breeds","male","commercial",4,1,"culture and qPCR"
692,2015-03-30,5,1447,"undefined","female","commercial",10,1,"qPCR"
489,2019-12-05,382,1442,"undefined","unreported","undefined",17,1,"qPCR"
972,2015-09-24,187,1190,"undefined","unreported","undefined",NA,1,"qPCR"
601,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1,"qPCR"
854,2015-07-08,46,1301,"undefined","female","undefined",NA,1,"qPCR"
1602,2017-04-03,551,1470,"undefined","female","commercial",NA,1,"qPCR"
940,2015-09-04,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
571,2015-01-20,81,1385,"crossbreeds","male","undefined",7,1,"culture and qPCR"
278,2019-02-21,159,1380,"UK native pony breeds","female","other",8,1,"culture and qPCR"
1254,2016-03-28,46,1301,"UK native pony breeds","female","undefined",NA,1,"qPCR"
231,2018-12-31,67,1267,"undefined","female","undefined",NA,1,"qPCR"
1426,2016-08-26,28,1292,"undefined","female","undefined",8,1,"culture and qPCR"
1117,2016-01-04,496,1478,"Sports horses","male","undefined",NA,1,"qPCR"
1404,2016-08-11,79,1449,"undefined","unreported","undefined",NA,1,"culture and qPCR"
158,2018-08-31,21,1268,"crossbreeds","female","undefined",2,1,"qPCR"
1710,2017-12-08,67,1267,"undefined","male","commercial",1.5,1,"qPCR"
1649,2017-06-21,99,1508,"undefined","male","undefined",8,1,"qPCR"
186,2018-10-31,73,1463,"Sports horses","unreported","undefined",13.08,1,"culture and qPCR"
103,2018-05-10,149,1465,"UK native pony breeds","female","undefined",16,1,"culture and qPCR"
