"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"89",855,2015-07-08,931,1522,"undefined","unreported","undefined",NA,1
"90",274,2019-02-18,72,1282,"undefined","male","other",8,1
"91",809,2015-06-17,184,1190,"Sports horses","male","commercial",8,1
"92",747,2015-04-28,42,1284,"UK native horse breeds","unreported","undefined",18,1
"93",1214,2016-03-02,397,1441,"undefined","unreported","undefined",NA,1
"94",86,2018-04-09,45,1188,"Sports horses","female","commercial",4,1
"95",773,2015-05-13,62,1317,"Sports horses","male","undefined",10,1
"96",1703,2017-11-20,86,1481,"undefined","unreported","undefined",NA,1
"97",1062,2015-11-20,757,1428,"Non UK native horses","male","undefined",6,1
"98",1641,2017-05-23,40,1436,"Sports horses","unreported","undefined",NA,1
"99",902,2015-08-04,1127,1216,"undefined","unreported","undefined",NA,1
"100",1559,2017-01-25,111,1490,"undefined","male","undefined",17,1
"101",1110,2015-12-31,1112,1522,"UK native pony breeds","male","commercial",3,1
"102",899,2015-08-03,181,1237,"undefined","female","commercial",9,1
"103",72,2018-06-11,24,1260,"crossbreeds","female","undefined",NA,1
"104",232,2018-12-31,67,1267,"undefined","female","undefined",NA,1
"105",1369,2016-06-28,111,1490,"crossbreeds","male","commercial",17,1
"106",541,2015-01-05,598,1509,"UK native pony breeds","female","private",10,1
"107",1561,2017-01-24,626,1194,"crossbreeds","female","undefined",6,1
"108",1513,2016-12-14,898,1490,"undefined","unreported","undefined",NA,1
"109",435,2019-09-23,42,1284,"UK native horse breeds","female","undefined",10,3
"110",979,2015-10-01,111,1490,"undefined","unreported","undefined",NA,1
"111",1554,2017-01-21,131,1436,"undefined","unreported","undefined",NA,1
"112",1069,2015-12-01,150,1472,"UK native pony breeds","female","undefined",8,1
"113",438,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1
"114",379,2019-07-22,50,1268,"UK native pony breeds","female","undefined",9,3
"115",1612,2017-05-02,143,1190,"UK native horse breeds","male","undefined",5.91,1
"116",493,2019-12-14,50,1268,"UK native horse breeds","unreported","commercial",3,1
"117",1040,2015-10-31,65,1238,"UK native pony breeds","female","commercial",11,1
"118",907,2015-08-07,931,1522,"UK native pony breeds","male","undefined",20,1
"119",1527,2017-01-07,799,1428,"undefined","unreported","other",NA,1
"120",82,2018-03-29,45,1188,"Sports horses","female","undefined",NA,1
"121",1383,2016-07-19,451,1292,"UK native pony breeds","male","commercial",21.75,1
"122",792,2015-06-04,435,1522,"undefined","unreported","undefined",NA,1
"123",31,2019-06-26,138,1380,"undefined","unreported","undefined",NA,3
"124",906,2015-08-05,931,1522,"undefined","unreported","undefined",NA,1
"125",1589,2017-11-14,114,1218,"UK native horse breeds","male","undefined",14,1
"126",769,2015-05-12,42,1284,"undefined","unreported","undefined",NA,1
"127",1548,2017-03-07,43,1442,"UK native horse breeds","male","commercial",6,1
"128",1260,2016-04-04,19,1472,"undefined","unreported","undefined",28,1
"129",1113,2016-01-04,961,1481,"UK native horse breeds","male","commercial",19,1
"130",1515,2016-12-15,40,1436,"Sports horses","male","commercial",2,1
"131",1355,2016-06-22,71,1244,"undefined","unreported","undefined",6,1
"132",271,2019-02-12,131,1436,"undefined","unreported","undefined",NA,1
"133",361,2019-06-28,96,1380,"Sports horses","unreported","private",9,1
"134",1534,2017-01-10,45,1188,"crossbreeds","male","private",8,1
"135",488,2019-12-05,839,1236,"UK native horse breeds","female","private",NA,1
"136",163,2018-09-08,55,1301,"UK native horse breeds","female","undefined",13,5
"137",43,2019-06-06,93,1520,"undefined","male","commercial",NA,1
"138",1713,2017-12-18,496,1478,"Sports horses","female","commercial",6,1
"139",1464,2016-10-17,43,1442,"undefined","female","undefined",3,1
"140",566,2015-04-22,931,1522,"undefined","male","undefined",NA,1
"141",618,2015-02-18,155,1449,"undefined","male","undefined",NA,1
"142",222,2018-12-20,147,1490,"undefined","unreported","undefined",NA,1
"143",1005,2016-01-12,40,1436,"undefined","unreported","undefined",NA,1
"144",64,2018-07-16,8,1260,"UK native pony breeds","female","commercial",3.08,1
