"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"384",1469,2016-10-17,67,1267,"undefined","unreported","undefined",NA,1
"385",180,2018-10-23,55,1301,"UK native horse breeds","male","undefined",14,5
"386",482,2019-11-21,194,1218,"undefined","female","private",2,1
"387",666,2015-03-05,65,1238,"UK native horse breeds","female","commercial",8,1
"388",344,2019-06-06,87,1187,"UK native horse breeds","male","private",7,1
"389",636,2015-02-23,596,1218,"undefined","unreported","undefined",NA,1
"390",1004,2016-01-12,65,1238,"UK native pony breeds","female","commercial",5,1
"391",1391,2016-07-26,133,1499,"Non UK native horses","male","private",10,1
"392",428,2019-09-18,96,1380,"undefined","female","undefined",NA,4
"393",802,2015-06-10,65,1238,"undefined","unreported","commercial",5,1
"394",656,2015-03-04,16,1385,"Sports horses","female","undefined",6,1
"395",981,2015-10-05,159,1380,"undefined","unreported","undefined",NA,1
"396",1108,2015-12-29,35,1451,"Sports horses","unreported","undefined",NA,1
"397",755,2015-05-01,178,1460,"UK native pony breeds","male","commercial",NA,1
"398",491,2019-12-16,131,1436,"undefined","unreported","undefined",NA,1
"399",1468,2016-10-19,185,1461,"Sports horses","male","commercial",8,1
"400",1422,2016-08-25,48,1449,"Sports horses","female","undefined",5,1
"401",260,2019-01-25,24,1260,"undefined","unreported","undefined",NA,4
"402",384,2019-07-29,68,1218,"Non UK native horses","female","undefined",10,5
"403",1736,2018-01-31,652,1456,"Sports horses","female","undefined",6.08,1
"404",264,2019-01-31,100,1465,"Sports horses","male","undefined",6,5
"405",675,2015-03-16,18,1456,"undefined","unreported","undefined",NA,1
"406",1352,2016-06-21,106,1462,"crossbreeds","male","undefined",NA,1
"407",1256,2016-03-31,93,1520,"UK native horse breeds","male","undefined",15,1
"408",105,2018-05-15,20,1294,"undefined","unreported","undefined",NA,1
"409",1582,2017-03-01,261,1268,"undefined","unreported","undefined",NA,1
"410",1726,2018-01-10,71,1244,"UK native pony breeds","female","undefined",4,1
"411",1053,2015-11-16,37,1190,"undefined","unreported","undefined",NA,1
"412",147,2018-07-19,137,1478,"Sports horses","female","undefined",25,1
"413",397,2019-08-14,114,1218,"UK native horse breeds","male","undefined",NA,1
"414",1286,2016-04-19,62,1317,"crossbreeds","unreported","undefined",6,1
"415",934,2015-08-28,843,1218,"undefined","unreported","other",NA,1
"416",734,2015-04-22,551,1470,"crossbreeds","male","commercial",13,1
"417",730,2015-04-20,137,1478,"crossbreeds","female","undefined",8,1
"418",67,2019-04-15,116,1466,"UK native horse breeds","female","undefined",10,1
"419",1760,2018-03-07,2,1262,"crossbreeds","male","commercial",1,1
"420",1375,2016-07-04,106,1462,"UK native horse breeds","female","commercial",10,1
"421",827,2015-06-26,58,1508,"Sports horses","male","undefined",7,1
"422",562,2015-04-10,744,1520,"UK native horse breeds","male","other",10,1
"423",723,2015-04-14,116,1466,"undefined","unreported","undefined",NA,1
"424",357,2019-06-25,69,1451,"Non UK native horses","male","undefined",5,5
"425",1408,2016-08-16,146,1188,"Sports horses","male","commercial",6,1
"426",1725,2018-01-09,119,1473,"undefined","female","undefined",6,1
"427",592,2015-02-03,881,1495,"Sports horses","male","undefined",6.08,1
"428",1172,2016-02-02,237,1285,"UK native pony breeds","unreported","commercial",8,1
"429",1061,2015-11-18,8,1260,"Non UK native horses","male","private",6,1
"430",1248,2016-03-24,76,1508,"UK native pony breeds","male","undefined",8,1
"431",561,2015-01-15,69,1451,"undefined","unreported","undefined",NA,1
"432",1494,2016-11-23,5,1447,"undefined","female","private",6,1
"433",1416,2016-08-22,28,1292,"Sports horses","female","undefined",6,1
"434",206,2018-12-03,46,1301,"UK native pony breeds","female","commercial",6,1
"435",350,2019-06-18,126,1267,"UK native horse breeds","male","undefined",14,3
"436",236,2019-01-03,1,1262,"UK native horse breeds","female","undefined",30,5
"437",148,2018-07-20,15,1196,"undefined","male","undefined",0.66,1
"438",133,2018-07-12,99,1508,"undefined","unreported","undefined",NA,1
"439",1087,2015-12-11,970,1485,"undefined","male","undefined",24,1
"440",1144,2016-01-18,470,1519,"undefined","unreported","commercial",NA,1
"441",1532,2017-01-09,28,1292,"undefined","female","commercial",NA,1
"442",637,2015-02-25,116,1466,"undefined","unreported","undefined",NA,1
"443",612,2015-02-13,12,1436,"undefined","unreported","undefined",0.66,1
"444",1584,2017-10-13,114,1218,"Sports horses","male","undefined",16,1
"445",581,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1
"446",142,2018-07-17,47,1269,"undefined","female","undefined",NA,1
"447",1569,2017-02-10,818,1284,"Sports horses","unreported","undefined",11,1
"448",796,2015-06-09,818,1284,"crossbreeds","female","undefined",14,1
"449",131,2018-07-11,40,1436,"undefined","female","undefined",NA,1
"450",1321,2016-06-01,560,1449,"Sports horses","male","commercial",9,1
"451",1442,2016-09-19,85,1499,"undefined","unreported","commercial",NA,1
"452",1207,2016-02-29,143,1190,"crossbreeds","unreported","undefined",8,1
"453",1305,2016-05-12,125,1212,"undefined","female","commercial",23,1
"454",1177,2016-02-04,156,1311,"undefined","unreported","undefined",NA,1
"455",293,2019-03-13,58,1508,"crossbreeds","male","undefined",22,4
"456",1081,2015-12-07,1032,1269,"crossbreeds","male","undefined",17,1
"457",821,2015-06-23,1080,1409,"UK native pony breeds","female","private",NA,1
"458",593,2015-02-04,369,1451,"crossbreeds","male","private",NA,1
"459",703,2015-04-07,885,1481,"undefined","unreported","undefined",NA,1
"460",1345,2016-06-16,5,1447,"UK native horse breeds","male","commercial",3,1
"461",615,2015-10-26,4,1490,"UK native pony breeds","female","commercial",6,1
"462",930,2015-08-24,36,1449,"UK native horse breeds","male","other",20,1
"463",1116,2016-01-04,496,1478,"undefined","female","commercial",NA,1
"464",1745,2018-02-22,39,1240,"UK native horse breeds","female","undefined",16.5,1
"465",671,2015-03-10,57,1218,"undefined","unreported","undefined",NA,1
"466",388,2019-07-29,31,1499,"UK native pony breeds","female","undefined",NA,3
"467",198,2018-11-22,103,1191,"undefined","unreported","undefined",NA,4
"468",740,2015-04-26,721,1218,"undefined","female","undefined",NA,1
"469",1332,2016-06-08,475,1490,"undefined","female","commercial",12,1
"470",1295,2016-04-27,197,1424,"Sports horses","male","commercial",10,1
"471",371,2019-07-14,139,1187,"undefined","unreported","undefined",NA,3
"472",565,2015-01-15,104,1212,"UK native pony breeds","male","commercial",7,1
"473",225,2018-12-27,114,1218,"undefined","female","undefined",2,1
"474",10,2019-05-14,73,1463,"Sports horses","male","undefined",9,1
"475",174,2018-10-09,83,1470,"UK native pony breeds","unreported","undefined",7,1
"476",696,2015-03-31,116,1466,"undefined","unreported","undefined",NA,1
"477",1287,2016-04-20,818,1284,"undefined","unreported","undefined",NA,1
"478",478,2019-11-21,526,1478,"UK native horse breeds","male","undefined",NA,1
"479",1525,2017-01-05,28,1292,"UK native pony breeds","male","undefined",12,1
"480",1221,2016-03-10,2,1262,"undefined","female","commercial",NA,1
"481",1303,2016-05-10,90,1453,"Sports horses","unreported","commercial",NA,1
"482",1678,2017-09-22,69,1451,"undefined","unreported","undefined",NA,1
"483",1772,2018-03-20,46,1301,"UK native pony breeds","female","other",7,1
"484",654,2015-03-03,57,1218,"undefined","unreported","undefined",NA,1
"485",1243,2016-03-21,49,1190,"undefined","unreported","undefined",NA,1
"486",1587,2017-03-06,85,1499,"UK native horse breeds","female","undefined",3,1
"487",1276,2016-04-13,475,1490,"UK native pony breeds","female","commercial",5,1
"488",815,2015-06-17,116,1466,"undefined","unreported","undefined",NA,1
"489",1533,2017-01-09,124,1260,"Sports horses","male","other",2,1
"490",699,2015-04-01,1127,1216,"undefined","unreported","undefined",NA,1
"491",1452,2016-09-29,90,1453,"UK native pony breeds","female","commercial",1,1
"492",1432,2016-09-07,71,1244,"UK native horse breeds","female","commercial",0.33,1
"493",819,2015-06-16,1110,1522,"UK native pony breeds","female","undefined",NA,1
"494",843,2015-07-05,470,1519,"UK native pony breeds","male","commercial",20,1
"495",477,2019-11-27,157,1380,"undefined","unreported","undefined",NA,4
"496",874,2015-07-20,174,1188,"undefined","female","undefined",NA,1
"497",121,2018-06-22,77,1269,"undefined","unreported","undefined",NA,1
"498",1667,2017-08-21,69,1451,"undefined","unreported","undefined",NA,1
"499",470,2019-11-11,187,1190,"UK native pony breeds","male","undefined",17,4
"500",157,2018-08-29,108,1292,"undefined","male","undefined",5,1
"501",1317,2016-05-25,178,1460,"UK native pony breeds","unreported","commercial",40,1
"502",914,2015-08-12,116,1466,"undefined","female","undefined",NA,1
"503",1510,2016-12-12,685,1436,"Sports horses","female","commercial",6,1
"504",69,2019-01-21,30,1385,"UK native pony breeds","male","undefined",2,4
"505",959,2015-09-14,591,1297,"Sports horses","female","undefined",NA,1
"506",1284,2016-04-15,139,1187,"UK native pony breeds","unreported","other",16,1
"507",1590,2017-11-27,96,1380,"Sports horses","female","undefined",NA,1
"508",439,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1
"509",1723,2018-01-08,1032,1269,"crossbreeds","male","other",10,1
"510",1163,2016-01-27,596,1218,"UK native horse breeds","male","commercial",4,1
"511",1500,2016-11-30,94,1217,"undefined","female","undefined",1,1
"512",156,2018-08-17,125,1212,"undefined","unreported","undefined",0.41,1
"513",18,2019-03-29,46,1301,"UK native pony breeds","male","undefined",4,5
"514",1526,2017-12-30,5,1447,"undefined","male","undefined",26,1
"515",935,2015-09-01,99,1508,"undefined","unreported","undefined",NA,1
"516",1071,2015-12-01,147,1490,"UK native pony breeds","unreported","commercial",21,1
"517",1739,2018-02-01,652,1456,"undefined","male","undefined",9,1
"518",1418,2016-08-23,215,1294,"UK native pony breeds","male","commercial",6,1
"519",1237,2016-03-17,276,1409,"crossbreeds","female","private",24,1
"520",65,2018-12-18,70,1220,"undefined","unreported","undefined",NA,1
"521",460,2019-10-22,178,1460,"Non UK native horses","female","commercial",6,1
"522",1402,2016-08-08,1033,1301,"UK native pony breeds","female","other",2,1
"523",897,2015-07-30,931,1522,"undefined","unreported","undefined",0.08,1
"524",957,2015-09-14,99,1508,"undefined","unreported","undefined",NA,1
"525",252,2019-01-15,79,1449,"undefined","unreported","undefined",NA,5
"526",664,2015-03-04,104,1212,"Sports horses","male","commercial",4,1
"527",1257,2016-04-04,148,1451,"UK native pony breeds","male","private",23,1
"528",1142,2016-01-14,113,1458,"crossbreeds","male","commercial",21,1
"529",368,2019-07-09,60,1218,"UK native pony breeds","male","undefined",10,3
"530",227,2018-12-27,99,1508,"undefined","unreported","undefined",NA,1
"531",421,2019-08-30,68,1218,"undefined","male","undefined",NA,1
"532",652,2015-03-02,106,1462,"undefined","unreported","undefined",NA,1
"533",1336,2016-06-13,627,1460,"undefined","unreported","other",NA,1
"534",1073,2015-12-04,1112,1522,"undefined","unreported","commercial",NA,1
"535",1637,2017-05-18,131,1436,"undefined","unreported","undefined",NA,1
"536",921,2015-08-14,1071,1447,"Sports horses","female","other",15,1
"537",1541,2017-01-16,8,1260,"UK native horse breeds","female","commercial",10,1
"538",267,2019-02-05,13,1317,"UK native pony breeds","male","undefined",0.83,4
"539",683,2015-03-23,140,1292,"undefined","unreported","undefined",NA,1
"540",152,2018-08-05,93,1520,"Sports horses","male","commercial",10,1
"541",682,2015-03-23,140,1292,"undefined","unreported","undefined",NA,1
"542",204,2018-12-02,106,1462,"undefined","female","undefined",NA,5
"543",1519,2016-12-21,111,1490,"UK native pony breeds","unreported","commercial",1,1
"544",1572,2017-02-13,83,1470,"UK native horse breeds","female","undefined",1,1
"545",1714,2017-12-20,147,1490,"undefined","female","undefined",NA,1
"546",1394,2016-07-29,120,1238,"UK native pony breeds","male","private",NA,1
"547",544,2015-01-06,159,1380,"undefined","male","private",20,1
"548",483,2019-12-04,916,1522,"Sports horses","male","commercial",9,1
"549",878,2015-07-21,36,1449,"undefined","unreported","undefined",NA,1
"550",193,2018-11-12,71,1244,"crossbreeds","female","undefined",17,1
"551",880,2015-07-21,36,1449,"undefined","unreported","undefined",NA,1
"552",1738,2018-01-30,193,1296,"UK native pony breeds","unreported","undefined",6.5,1
"553",240,2019-01-11,30,1385,"undefined","unreported","undefined",NA,4
"554",323,2019-05-08,45,1188,"crossbreeds","male","commercial",9,1
"555",73,2019-01-11,141,1191,"undefined","male","undefined",10,4
"556",1417,2016-08-22,551,1470,"crossbreeds","female","commercial",3,1
"557",870,2015-07-17,413,1218,"undefined","unreported","undefined",NA,1
"558",1337,2016-06-13,627,1460,"undefined","unreported","other",NA,1
"559",1232,2016-03-17,823,1470,"UK native pony breeds","female","undefined",0.5,1
"560",1521,2016-12-28,121,1269,"Non UK native horses","male","undefined",3,1
"561",321,2019-05-05,145,1282,"UK native pony breeds","male","undefined",NA,5
"562",346,2019-06-11,159,1380,"undefined","male","commercial",NA,1
"563",434,2019-09-18,41,1234,"undefined","unreported","undefined",NA,5
"564",793,2015-06-05,131,1436,"undefined","male","undefined",16,1
"565",1465,2016-10-13,185,1461,"UK native horse breeds","male","commercial",6,1
"566",564,2015-04-20,413,1218,"undefined","male","commercial",NA,1
"567",590,2015-01-29,132,1192,"Sports horses","female","undefined",5,1
"568",80,2019-01-31,40,1436,"undefined","unreported","undefined",NA,1
"569",986,2015-10-05,159,1380,"crossbreeds","female","undefined",23,1
"570",1204,2016-02-23,106,1462,"Sports horses","male","undefined",NA,1
"571",1446,2016-09-23,99,1508,"undefined","unreported","undefined",NA,1
"572",669,2015-03-10,1127,1216,"undefined","unreported","undefined",NA,1
"573",1503,2016-12-05,71,1244,"crossbreeds","male","undefined",23.25,1
"574",1229,2016-03-16,121,1269,"undefined","unreported","undefined",NA,1
"575",292,2019-03-04,52,1449,"Sports horses","female","undefined",NA,1
"576",48,2018-04-25,36,1449,"undefined","female","undefined",NA,1
"577",1003,2016-01-11,113,1458,"Sports horses","unreported","undefined",22,1
"578",1562,2017-01-25,40,1436,"UK native horse breeds","unreported","commercial",5,1
"579",857,2015-07-13,704,1454,"undefined","male","undefined",18,1
"580",1224,2016-03-14,106,1462,"crossbreeds","male","undefined",2,1
"581",1251,2016-03-24,46,1301,"UK native pony breeds","female","commercial",18,1
"582",26,2019-02-19,148,1451,"UK native pony breeds","female","commercial",9,1
"583",262,2019-01-28,24,1260,"undefined","unreported","undefined",NA,4
"584",145,2018-07-18,154,1466,"undefined","unreported","undefined",NA,1
"585",644,2015-02-26,116,1466,"UK native horse breeds","unreported","undefined",NA,1
"586",94,2018-04-24,101,1196,"crossbreeds","male","undefined",21,1
"587",892,2015-07-27,48,1449,"undefined","unreported","undefined",NA,1
"588",1425,2016-08-26,121,1269,"UK native horse breeds","unreported","undefined",NA,1
"589",399,2019-08-16,163,1444,"undefined","unreported","undefined",1,3
"590",806,2015-06-16,116,1466,"undefined","unreported","undefined",NA,1
"591",1531,2017-01-09,20,1294,"Sports horses","female","undefined",12,1
"592",658,2015-03-03,459,1206,"undefined","unreported","commercial",NA,1
"593",1576,2017-02-23,93,1520,"Non UK native horses","female","undefined",NA,1
"594",1151,2016-01-19,28,1292,"undefined","female","undefined",18,1
"595",1599,2017-03-28,37,1190,"UK native pony breeds","unreported","undefined",12,1
"596",780,2015-05-26,815,1296,"UK native pony breeds","female","undefined",NA,1
"597",999,2016-01-07,793,1269,"undefined","unreported","undefined",NA,1
"598",1297,2016-04-29,119,1473,"undefined","male","private",NA,1
"599",553,2015-03-18,652,1456,"UK native pony breeds","male","undefined",0.5,1
"600",192,2018-11-12,4,1490,"undefined","unreported","undefined",NA,1
"601",1072,2015-12-04,1112,1522,"undefined","unreported","commercial",NA,1
"602",547,2015-01-09,48,1449,"undefined","unreported","undefined",NA,1
"603",1137,2016-01-05,335,1508,"UK native horse breeds","male","undefined",9,1
"604",1036,2015-10-20,127,1261,"UK native pony breeds","male","other",2,1
"605",197,2018-11-20,104,1212,"UK native horse breeds","female","commercial",10,1
"606",1766,2018-03-08,793,1269,"UK native horse breeds","male","undefined",16,1
"607",551,2015-01-12,591,1297,"UK native pony breeds","male","undefined",7,1
"608",1458,2016-10-03,58,1508,"UK native pony breeds","female","undefined",3,1
"609",915,2015-08-12,24,1260,"undefined","male","undefined",10,1
"610",1382,2016-07-16,658,1219,"UK native horse breeds","male","commercial",9,1
"611",1462,2016-10-12,69,1451,"undefined","unreported","undefined",NA,1
"612",5,2018-07-20,77,1269,"undefined","female","undefined",NA,1
"613",62,2019-03-25,67,1267,"Non UK native horses","male","undefined",NA,1
"614",704,2015-04-07,18,1456,"undefined","unreported","undefined",NA,1
"615",1161,2016-01-26,1032,1269,"Non UK native horses","male","commercial",2,1
"616",141,2018-07-16,77,1269,"undefined","male","undefined",NA,1
"617",1052,2015-11-16,37,1190,"undefined","unreported","undefined",NA,1
"618",725,2015-04-14,71,1244,"UK native horse breeds","unreported","commercial",8,1
"619",176,2018-10-16,63,1481,"Sports horses","female","undefined",3,1
"620",1159,2016-01-27,435,1522,"undefined","unreported","commercial",NA,1
"621",110,2018-05-23,123,1206,"UK native horse breeds","male","undefined",8,1
"622",1705,2017-11-20,86,1481,"crossbreeds","male","undefined",NA,1
"623",1291,2016-04-25,184,1190,"undefined","unreported","other",NA,1
"624",389,2019-07-30,88,1444,"Sports horses","female","undefined",9,3
"625",87,2018-04-10,68,1218,"crossbreeds","female","undefined",NA,1
"626",1405,2016-08-15,71,1244,"undefined","unreported","undefined",NA,1
"627",1346,2016-06-15,46,1301,"undefined","unreported","undefined",NA,1
"628",1162,2016-01-26,1032,1269,"Non UK native horses","male","commercial",NA,1
"629",798,2015-06-10,556,1274,"crossbreeds","female","undefined",7,1
"630",83,2018-03-29,131,1436,"undefined","unreported","undefined",NA,1
"631",471,2019-11-15,90,1453,"UK native pony breeds","female","undefined",20,1
"632",383,2019-07-25,112,1301,"UK native horse breeds","male","undefined",0.16,1
"633",75,2018-11-26,96,1380,"UK native pony breeds","male","undefined",NA,4
"634",1593,2017-03-14,18,1456,"undefined","unreported","undefined",NA,1
"635",1043,2015-11-04,940,1481,"UK native pony breeds","female","undefined",3,1
"636",848,2015-07-04,811,1471,"Non UK native horses","female","undefined",NA,1
"637",812,2015-06-16,488,1240,"undefined","female","undefined",NA,1
"638",1343,2016-06-15,93,1520,"Sports horses","male","undefined",NA,1
"639",1191,2016-02-13,1038,1449,"undefined","unreported","undefined",NA,1
"640",949,2015-09-07,119,1473,"Sports horses","female","commercial",5,1
"641",1757,2018-03-06,1059,1446,"Non UK native horses","male","undefined",12,1
"642",1077,2015-12-03,175,1428,"crossbreeds","female","commercial",NA,1
"643",30,2019-01-08,140,1292,"undefined","unreported","commercial",NA,1
"644",729,2015-04-20,137,1478,"UK native pony breeds","female","undefined",6,1
"645",1420,2016-08-25,83,1470,"UK native pony breeds","male","other",15,1
"646",254,2019-01-16,118,1447,"Sports horses","male","undefined",10,5
"647",1213,2016-03-02,397,1441,"undefined","unreported","undefined",NA,1
"648",635,2015-02-24,146,1188,"Non UK native horses","female","undefined",NA,1
"649",127,2018-07-05,14,1206,"undefined","unreported","undefined",12,1
"650",1235,2016-03-16,159,1380,"Sports horses","male","commercial",14,1
"651",624,2015-02-18,6,1242,"undefined","unreported","undefined",NA,1
"652",1601,2017-03-29,131,1436,"undefined","unreported","undefined",NA,1
"653",1089,2015-12-11,970,1485,"Sports horses","male","undefined",NA,1
"654",466,2019-10-21,90,1453,"UK native horse breeds","female","undefined",8,1
"655",647,2015-02-26,18,1456,"undefined","unreported","commercial",NA,1
"656",559,2015-01-14,139,1187,"undefined","unreported","undefined",NA,1
"657",1658,2017-07-14,43,1442,"undefined","female","commercial",8,1
"658",149,2018-07-23,45,1188,"UK native horse breeds","male","commercial",4,1
"659",692,2015-03-30,5,1447,"undefined","female","commercial",10,1
"660",489,2019-12-05,382,1442,"undefined","unreported","undefined",17,1
"661",972,2015-09-24,187,1190,"undefined","unreported","undefined",NA,1
"662",601,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1
"663",854,2015-07-08,46,1301,"undefined","female","undefined",NA,1
"664",1602,2017-04-03,551,1470,"undefined","female","commercial",NA,1
"665",940,2015-09-04,99,1508,"undefined","unreported","undefined",NA,1
"666",571,2015-01-20,81,1385,"crossbreeds","male","undefined",7,1
"667",278,2019-02-21,159,1380,"UK native pony breeds","female","other",8,1
"668",1254,2016-03-28,46,1301,"UK native pony breeds","female","undefined",NA,1
"669",231,2018-12-31,67,1267,"undefined","female","undefined",NA,1
"670",1426,2016-08-26,28,1292,"undefined","female","undefined",8,1
"671",1117,2016-01-04,496,1478,"Sports horses","male","undefined",NA,1
"672",1404,2016-08-11,79,1449,"undefined","unreported","undefined",NA,1
"673",158,2018-08-31,21,1268,"crossbreeds","female","undefined",2,1
"674",1710,2017-12-08,67,1267,"undefined","male","commercial",1.5,1
"675",1649,2017-06-21,99,1508,"undefined","male","undefined",8,1
"676",186,2018-10-31,73,1463,"Sports horses","unreported","undefined",13.08,1
"677",103,2018-05-10,149,1465,"UK native pony breeds","female","undefined",16,1
"678",1497,2016-11-28,90,1453,"UK native pony breeds","male","undefined",NA,1
"679",194,2018-11-14,91,1271,"UK native pony breeds","female","undefined",7,1
"680",1508,2016-12-12,685,1436,"Sports horses","female","commercial",NA,1
"681",1440,2016-09-08,823,1470,"undefined","unreported","undefined",NA,1
"682",943,2015-09-03,83,1470,"undefined","unreported","commercial",NA,1
"683",109,2018-05-21,154,1466,"UK native pony breeds","female","commercial",NA,1
"684",1045,2015-11-04,28,1292,"undefined","unreported","undefined",NA,1
"685",1212,2016-03-02,111,1490,"undefined","male","other",NA,1
"686",1399,2016-08-03,1066,1448,"UK native pony breeds","unreported","commercial",19,1
"687",1019,2015-10-06,93,1520,"UK native horse breeds","male","undefined",5,1
"688",1076,2015-12-03,12,1436,"UK native horse breeds","male","undefined",6,1
"689",1320,2016-05-31,901,1481,"undefined","unreported","undefined",NA,1
"690",786,2015-06-01,121,1269,"undefined","unreported","undefined",7,1
"691",1550,2017-03-14,104,1212,"UK native pony breeds","female","commercial",7,1
"692",1156,2016-01-25,237,1285,"Sports horses","female","undefined",7,1
"693",1613,2017-05-03,176,1501,"UK native pony breeds","male","private",2.5,1
"694",1732,2018-01-22,470,1519,"UK native pony breeds","female","commercial",9,1
"695",606,2015-02-06,928,1218,"undefined","male","undefined",NA,1
"696",686,2015-03-20,18,1456,"undefined","unreported","undefined",NA,1
"697",1396,2016-07-29,107,1220,"Sports horses","female","commercial",3,1
"698",1273,2016-04-08,910,1481,"undefined","unreported","undefined",NA,1
"699",1024,2015-10-11,111,1490,"Sports horses","male","commercial",9,1
"700",613,2015-02-16,43,1442,"UK native pony breeds","male","commercial",5,1
"701",1504,2016-12-09,119,1473,"undefined","male","commercial",5,1
"702",938,2015-09-02,1066,1448,"UK native pony breeds","female","other",2,1
"703",890,2015-07-22,121,1269,"Non UK native horses","male","undefined",4,1
"704",549,2015-01-08,93,1520,"crossbreeds","male","commercial",NA,1
"705",423,2019-09-03,68,1218,"undefined","male","undefined",NA,5
"706",255,2019-01-16,74,1260,"UK native horse breeds","male","commercial",11,4
"707",719,2015-04-14,448,1485,"Sports horses","male","commercial",4,1
"708",373,2019-07-17,127,1261,"UK native pony breeds","unreported","undefined",1,3
"709",25,2018-05-24,111,1490,"undefined","female","undefined",3,1
"710",1183,2016-02-09,85,1499,"Sports horses","female","commercial",5,1
"711",1217,2016-03-06,231,1495,"undefined","male","commercial",14,1
"712",836,2015-06-29,116,1466,"undefined","unreported","undefined",NA,1
"713",1421,2016-08-25,148,1451,"undefined","female","undefined",13,1
"714",1309,2016-05-24,49,1190,"undefined","female","undefined",NA,1
"715",1719,2018-01-04,135,1424,"UK native pony breeds","male","private",0.5,1
"716",918,2015-08-13,62,1317,"Sports horses","male","undefined",9,1
"717",1858,2019-08-12,947,1218,"Sports horses","male","commercial",14,1
"718",1092,2015-12-15,35,1451,"undefined","female","undefined",10,1
"719",643,2015-12-10,33,1474,"undefined","female","commercial",17,1
"720",762,2015-05-08,42,1284,"undefined","unreported","undefined",NA,1
"721",925,2015-08-20,1125,1447,"UK native pony breeds","unreported","undefined",NA,1
"722",712,2015-04-13,39,1240,"undefined","female","private",NA,1
"723",1326,2016-06-01,485,1454,"UK native horse breeds","female","undefined",18,1
"724",1331,2016-06-06,135,1424,"undefined","unreported","undefined",NA,1
"725",629,2015-02-23,116,1466,"undefined","unreported","undefined",NA,1
"726",114,2018-06-08,18,1456,"undefined","unreported","undefined",NA,1
"727",1701,2017-11-21,931,1522,"UK native pony breeds","female","undefined",11,1
"728",756,2015-05-01,178,1460,"crossbreeds","male","commercial",NA,1
"729",1501,2016-12-05,146,1188,"UK native horse breeds","female","private",NA,1
"730",81,2018-12-17,156,1311,"Sports horses","unreported","commercial",20,1
"731",412,2019-08-23,135,1424,"Sports horses","unreported","commercial",6,1
"732",625,2015-02-20,116,1466,"undefined","unreported","undefined",NA,1
"733",207,2018-12-06,100,1465,"UK native pony breeds","unreported","undefined",18,5
"734",771,2015-05-13,175,1428,"crossbreeds","female","undefined",8,1
"735",1607,2017-04-17,28,1292,"Sports horses","female","undefined",NA,1
"736",1544,2017-01-16,28,1292,"Sports horses","female","commercial",1.41,1
"737",905,2015-08-06,36,1449,"Non UK native horses","unreported","undefined",7,1
"738",620,2015-11-09,1122,1522,"Donkey Gen","male","other",18,1
"739",743,2015-04-28,175,1428,"crossbreeds","female","undefined",8,1
"740",924,2015-08-19,159,1380,"undefined","unreported","undefined",NA,1
"741",294,2019-03-14,144,1263,"undefined","female","undefined",NA,5
"742",603,2015-02-05,131,1436,"undefined","unreported","undefined",NA,1
"743",1419,2016-08-22,43,1442,"undefined","female","commercial",14,1
"744",12,2019-05-22,116,1466,"crossbreeds","male","undefined",NA,1
"745",14,2018-09-06,131,1436,"undefined","unreported","undefined",NA,1
"746",1640,2017-05-22,43,1442,"undefined","female","commercial",10,1
"747",1351,2016-06-20,1123,1474,"UK native pony breeds","female","private",6,1
"748",1227,2016-03-11,1126,1243,"Sports horses","male","undefined",12,1
"749",1681,2017-10-05,181,1237,"UK native pony breeds","male","undefined",2,1
"750",247,2019-01-14,140,1292,"Sports horses","male","undefined",24,1
"751",691,2015-03-28,140,1292,"undefined","unreported","undefined",NA,1
"752",39,2018-09-27,93,1520,"UK native horse breeds","female","other",10.33,1
"753",1496,2016-11-25,131,1436,"undefined","unreported","undefined",NA,1
"754",1708,2017-12-04,71,1244,"UK native pony breeds","male","commercial",5.33,1
"755",1065,2015-11-30,94,1217,"undefined","female","undefined",2,1
"756",767,2015-05-11,1059,1446,"UK native pony breeds","male","undefined",14,1
"757",1395,2016-07-30,67,1267,"undefined","female","undefined",18,1
"758",754,2015-05-02,39,1240,"undefined","unreported","undefined",7,1
"759",886,2015-07-22,76,1508,"UK native horse breeds","male","private",6,1
"760",374,2019-07-18,153,1519,"Sports horses","female","undefined",NA,3
"761",311,2019-04-08,81,1385,"undefined","unreported","undefined",NA,1
"762",646,2015-02-27,485,1454,"undefined","male","undefined",NA,1
"763",750,2015-04-28,5,1447,"undefined","male","private",3,1
"764",1171,2016-02-03,596,1218,"UK native pony breeds","male","other",18,1
"765",233,2019-01-02,141,1191,"undefined","male","undefined",NA,4
"766",631,2015-02-23,302,1218,"UK native pony breeds","male","undefined",8,1
"767",1578,2017-02-27,5,1447,"undefined","female","commercial",6,1
"768",701,2015-04-04,139,1187,"undefined","unreported","undefined",NA,1
"769",1288,2016-04-21,470,1519,"Sports horses","male","undefined",NA,1
"770",1568,2017-02-08,44,1506,"Sports horses","male","undefined",15,1
"771",799,2015-06-01,556,1274,"undefined","unreported","commercial",8,1
"772",144,2018-07-17,111,1490,"Sports horses","male","commercial",NA,1
"773",916,2015-08-12,823,1470,"undefined","unreported","commercial",NA,1
"774",885,2015-07-22,178,1460,"undefined","unreported","undefined",NA,1
